Ciclo,Mínimo,Máximo,Cromosoma máximo decimal,Cromosoma máximo,Promedio
39,0.2499952237349846,0.9999904483784744,1073736695,111111111111111110101111110111,0.9249787193136918
40,0.7656166421302905,0.999998077751128,1073740791,111111111111111111101111110111,0.9765538306909214
41,0.9999904483784744,0.999998077751128,1073740791,111111111111111111101111110111,0.9999919742530052
42,0.2499990384103655,0.999998077751128,1073740791,111111111111111111101111110111,0.8863455558715557
43,0.9689847528875275,0.9999999850988388,1073741815,111111111111111111111111110111,0.9952390779960917
44,0.999877918512425,0.9999999850988388,1073741815,111111111111111111111111110111,0.9999814737905016
45,0.998045789208068,0.9999999850988388,1073741815,111111111111111111111111110111,0.9998028373502343
46,0.999998077751128,0.9999999850988388,1073741815,111111111111111111111111110111,0.9999995768072075
47,0.9384764325241165,0.9999999850988388,1073741815,111111111111111111111111110111,0.9938471366133328
48,0.5624999884748833,0.9999999850988388,1073741815,111111111111111111111111110111,0.9562496959814915
49,0.9990236573003136,0.9999999850988388,1073741815,111111111111111111111111110111,0.9998230115525246
50,0.9384174103059346,0.9999999850988388,1073741815,111111111111111111111111110111,0.9934513887244141
51,0.9960975498215775,0.9999999850988388,1073741815,111111111111111111111111110111,0.9995608955650391
52,0.9997558593765917,1.0,1073741823,111111111111111111111111111111,0.9999725222822207
53,0.9689941259280205,1.0,1073741823,111111111111111111111111111111,0.9968925358015432
54,0.2499999920837582,1.0,1073741823,111111111111111111111111111111,0.9015624457300934
55,0.9384765624436113,1.0,1073741823,111111111111111111111111111111,0.9938475072327779
56,0.9999389508743094,1.0,1073741823,111111111111111111111111111111,0.9999938921071987
57,0.9999998807907138,1.0,1073741823,111111111111111111111111111111,0.9999999880790714
58,0.992202758781815,1.0,1073741823,111111111111111111111111111111,0.9992202758781815
59,0.9999995231628982,1.0,1073741823,111111111111111111111111111111,0.9999999463558253
60,0.992202758781815,1.0,1073741823,111111111111111111111111111111,0.9992202758781815
61,0.99902367591767,1.0,1073741823,111111111111111111111111111111,0.9999023422597944
